,track_id,track,track_popularity,data_added,top_year,album_name,album_release_year,genre,artists_name,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
24,0gPQTLaqHDgdupKEok7J2x,7 Days,72.0,2020-08-07T08:16:37Z,2000.0,7 Days,2000-08-14,[],Craig David,235133.0,0.659,0.812,-7.499,0.0487,0.23,0.0,0.0951,0.888,83.014
25,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",72.0,2020-08-07T08:16:37Z,2000.0,"Jumpin', Jumpin'",1999-07-27,[],Destiny's Child,230200.0,0.771,0.685,-4.639,0.0567,0.00543,0.00157,0.0537,0.683,88.997
26,6Sy9BUbgFse0n0LPA5lwy5,Sandstorm,72.0,2020-08-07T08:16:37Z,2000.0,Sandstorm,2001-01-01,[],Darude,225493.0,0.528,0.965,-7.984,0.0465,0.141,0.985,0.0797,0.587,136.065
27,5p0ietGkLNEqx1Z7ijkw5g,My Love,72.0,2020-08-07T08:16:37Z,2000.0,My Love,2000,[],Westlife,231760.0,0.491,0.593,-5.975,0.0255,0.098,0.0,0.257,0.328,144.142
28,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',72.0,2020-08-07T08:16:37Z,2000.0,Big Pimpin',1999-12-28,[],"JAY-Z,UGK",283066.0,0.88,0.814,-6.307,0.14,0.168,0.00672,0.0584,0.942,138.083
29,5OQGeJ1ceykovrykZsGhqL,Breathless,72.0,2020-08-07T08:16:37Z,2000.0,Breathless,2000-07-17,[],The Corrs,207506.0,0.607,0.82,-7.754,0.0597,0.0541,6.8e-05,0.269,0.768,126.988
30,2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,72.0,2020-08-07T08:16:37Z,2000.0,It's Gonna Be Me,2000-03-21,[],*NSYNC,192426.0,0.636,0.873,-4.672,0.071,0.0407,1.27e-06,0.0372,0.908,165.071
31,3BsaRV5QIulYz2lV9WWa8T,Show Me the Meaning of Being Lonely,72.0,2020-08-07T08:16:37Z,2000.0,Show Me the Meaning of Being Lonely,1999-05-18,[],Backstreet Boys,234960.0,0.63,0.625,-5.088,0.0252,0.231,0.0,0.0765,0.683,167.998
32,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),71.0,2020-08-07T08:16:37Z,2000.0,Country Grammar (Hot Shit),2000-06-27,[],Nelly,287000.0,0.865,0.664,-6.822,0.108,0.00689,0.0,0.142,0.565,162.831
33,2AogRMqARWyUP7VQ3gmSoY,Can't Fight The Moonlight,71.0,2020-08-07T08:16:37Z,2000.0,Can't Fight The Moonlight,2001-01-30,[],LeAnn Rimes,215506.0,0.628,0.834,-6.341,0.0497,0.403,0.0,0.051,0.626,97.865
